"","id","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"1","7UQhtMmfF7Y","3841","614","7","0","111"
"2","Em7yciQaiM8","16613","2053","35","0","268"
"3","QzNl1p79d9g","3443","511","3","0","113"
"4","ZciocyusVO4","7214","950","19","0","143"
"5","IbH1oIDJK-U","3889","516","8","0","104"
"6","WDkQBSRHbLU","6038","669","12","0","134"
"7","FnjrGpR3MIA","14987","1683","21","0","244"
"8","YvSaPntUaB0","13666","1624","9","0","229"
"9","ZAJ8DP_60kg","5623","632","13","0","107"
"10","548TOeS-vm4","23577","2107","34","0","283"
"11","GZsq8ntMtDw","5644","588","9","0","112"
"12","dAmBU1IDqgw","58162","6322","154","0","547"
"13","inGfS-l7JbY","15198","1240","13","0","193"
"14","EekxhbEZZj8","47094","3564","46","0","413"
"15","xe6OfaVXNY0","8319","896","6","0","208"
"16","hXt391yWFr4","47915","3896","43","0","430"
"17","jcr7ZseMFhY","11905","1181","16","0","201"
"18","2vHTEZtTBgw","114544","10901","189","0","1028"
"19","HbyjN_M_IPE","14722","1298","10","0","189"
"20","ENU_ECQu9iU","14931","1263","20","0","284"
"21","1tQhw_scrxE","7117","590","10","0","87"
"22","T12QE8w5Nhc","29968","2271","70","0","258"
"23","HsfLuvtUMsA","17462","1189","12","0","173"
"24","7PFzWtSjDFo","16436","1292","16","0","340"
"25","Jud9rGEOB6Y","7325","701","5","0","189"
"26","RSDq9Z3ZTq4","12689","1062","8","0","225"
"27","QnJxAfOGnuQ","9147","1021","5","0","221"
"28","-uDE0jT9VIk","83170","5518","108","0","668"
"29","a1IZ0Lq_E9E","10117","615","11","0","153"
"30","gNEl6UDOhwI","5304","422","2","0","126"
"31","5d2TUXgs1vs","20011","1349","32","0","244"
"32","J00uLwMRmBQ","58442","2031","38","0","240"
"33","XLy3I1XmeXM","5906","538","2","0","155"
"34","ZpOlfU7dgkA","14387","1161","9","0","254"
"35","7_F_8tUtY44","15415","746","4","0","170"
"36","YL3lmYUnsjk","30166","2015","31","0","303"
"37","j1ZKDeqiu38","16929","1094","14","0","234"
"38","jCiZlYXxXF8","19011","1293","15","0","190"
"39","64zaHGVnFnc","6019","340","6","0","87"
"40","sHFnOnhWGmc","2421","179","4","0","42"
"41","SN81XL8AsNo","1830","139","3","0","34"
"42","79jKaQ_6E8M","19614","1451","30","0","229"
"43","_blCzRYBM4g","28922","1134","50","0","199"
"44","eCNvoLC6pO0","27078","1448","28","0","204"
"45","dPq6Oq-YC9g","6611","532","10","0","130"
"46","8Q_uMx_HvdA","28456","1641","59","0","190"
"47","H0CPEMAl0bM","9276","641","5","0","106"
"48","a2Cmyq3xVXk","25446","1220","18","0","217"
"49","XnwujpYqdmA","53123","2673","78","0","428"
"50","vfc_wcxlxow","1922","186","0","0","32"
